income,loan_amount,credit_score,term,employment_years,age,Class
26327,32780,596,24,15,20,1
30538,45548,563,24,11,35,1
57194,18848,728,24,7,36,0
59708,18255,734,12,6,36,0
63206,19509,833,48,14,29,0
47690,7460,745,48,3,36,0
16796,38851,474,48,12,18,1
57082,9105,749,36,15,31,0
23992,42777,442,60,8,47,1
50365,11499,577,60,1,43,0
18475,36751,424,24,0,25,1
62137,17391,663,36,4,40,0
56514,14393,679,24,2,31,0
10224,29980,521,36,10,26,1
54610,7629,679,60,0,43,0
63838,19799,757,36,3,38,0
66156,5390,722,48,2,35,0
10000,38829,492,60,4,18,1
54533,16414,658,60,6,26,0
57580,10724,715,12,14,28,0
65188,18933,706,48,2,31,0
53564,12836,763,60,5,31,0
61692,22052,751,60,13,28,0
52163,13529,647,12,2,27,0
67165,15460,626,48,3,33,0
56213,24136,638,36,8,39,0
59230,12378,721,48,0,27,0
56364,16072,717,24,0,31,0
68165,14073,611,12,4,37,0
27003,40994,498,12,4,22,1
58798,15534,683,36,12,29,0
54474,11349,666,24,19,41,0
71013,9618,690,12,1,42,0
79896,1000,674,60,1,23,0
27462,44148,429,24,11,18,1
65899,20313,690,12,16,35,0
16847,37323,536,60,19,21,1
46580,13113,727,60,19,24,0
54480,21073,715,60,18,31,0
26159,33184,552,48,13,18,1
72172,21584,695,48,6,31,0
67481,19001,682,48,17,47,0
35186,14981,789,12,9,24,0
49646,22329,762,48,13,25,0
71123,12513,673,36,9,26,0
56755,17769,740,48,1,35,0
42262,9728,710,48,15,27,0
67167,21874,675,48,7,32,0
11161,34998,535,24,9,21,1
57111,19856,742,24,2,54,0
76828,21189,627,24,0,31,0
35307,31480,534,60,16,18,1
31883,41301,490,12,16,34,1
77893,19376,768,36,12,26,0
57904,21710,732,24,5,39,0
72751,17303,658,36,8,39,0
46349,20460,668,12,0,40,0
16407,35378,491,12,18,33,1
10000,34513,501,48,5,18,1
23616,32187,511,24,5,18,1
68962,18640,623,24,12,33,0
40532,13054,626,24,1,46,0
10000,47113,511,48,16,18,1
65852,12956,809,60,11,22,0
22961,43095,552,48,19,26,1
48409,14072,650,60,17,45,0
59769,15357,640,12,0,41,0
10000,34662,486,12,14,44,1
65622,17470,720,36,6,28,0
53071,21199,600,36,18,43,0
58714,15439,660,24,15,29,0
52307,12743,635,36,16,29,0
59164,20299,719,36,6,32,0
61856,25132,691,48,19,31,0
59888,12775,706,60,4,35,0
57664,19057,662,48,10,43,0
63158,21464,728,60,13,38,0
22139,43226,551,60,9,26,1
61430,16121,699,12,17,29,0
68995,12191,661,12,13,34,0
62869,18239,694,24,4,43,0
30375,45195,562,36,16,25,1
42378,21518,683,24,10,38,0
14887,42735,452,48,0,31,1
19373,31134,476,24,3,18,1
25925,39223,440,12,9,27,1
40342,14144,760,24,9,34,0
54191,12562,662,48,19,37,0
55568,10989,649,12,19,40,0
66706,13959,670,24,1,26,0
15168,37913,459,12,13,29,1
40000,21418,675,24,7,37,0
52597,16569,680,24,13,41,0
66445,12186,718,48,8,34,0
60667,16012,619,24,11,26,0
22504,42898,542,12,9,27,1
25382,36405,568,12,8,18,1
48257,17209,633,12,4,25,0
61987,10913,688,24,15,32,0
54114,14023,801,24,4,32,0
14702,35862,402,36,12,39,1
10000,50000,481,24,3,18,1
11015,31118,420,60,16,31,1
69130,14785,645,60,12,52,0
46844,7189,742,48,4,39,0
82285,20968,698,60,19,30,0
56221,28634,687,12,18,27,0
47080,9831,637,48,13,19,0
73884,13916,537,48,5,37,0
10813,39642,473,48,7,24,1
28524,48553,546,24,14,24,1
57748,24550,648,24,16,46,0
71619,19002,659,24,13,25,0
63634,24096,760,12,1,34,0
71036,6416,642,48,4,44,0
61466,11013,723,36,12,37,0
22140,44356,614,24,0,23,1
62290,13676,784,24,14,35,0
61995,11472,751,36,5,24,0
38466,37485,479,24,3,18,1
12644,37417,443,12,6,22,1
66042,15529,784,12,11,28,0
48048,9839,736,60,18,18,0
81394,14899,681,48,2,27,0
62893,14291,702,60,19,40,0
69187,16508,694,12,9,28,0
77250,17247,765,48,16,45,0
58540,20489,632,12,15,18,0
60933,22845,662,48,16,18,0
44928,4602,608,12,11,26,0
55361,13496,731,60,17,32,0
29382,45259,430,12,12,18,1
53139,21148,708,36,17,23,0
67577,4262,629,36,3,45,0
51417,19967,642,60,5,49,0
49459,14260,741,12,1,28,0
70300,13333,670,12,8,34,0
77790,16369,661,24,6,41,0
79089,10873,759,48,16,37,0
76539,25453,617,60,2,38,0
78166,8605,740,24,1,40,0
57172,17077,695,48,4,34,0
49179,10478,720,24,19,38,0
56192,12864,588,48,7,46,0
67174,12264,662,60,8,38,0
17654,36359,528,12,19,28,1
65248,22660,732,48,12,40,0
43196,20680,645,60,19,32,0
57586,6876,682,36,15,60,0
70577,20016,703,60,19,37,0
62689,8713,667,48,19,50,0
28563,37625,535,48,3,28,1
42426,24750,708,36,8,35,0
73940,6068,758,60,1,28,0
58078,12199,640,12,19,25,0
59321,9591,714,24,1,39,0
57317,12143,748,48,19,43,0
49099,18312,688,12,11,39,0
53904,10359,692,36,19,32,0
61055,18628,719,36,12,37,0
55609,24954,731,48,16,23,0
57776,21843,711,12,12,30,0
60845,12706,712,60,5,31,0
54709,8140,643,12,19,31,0
64117,14205,706,48,6,36,0
28220,35003,480,24,4,36,1
60901,17959,763,48,6,22,0
15625,40999,552,48,1,18,1
37275,44609,466,12,7,23,1
42187,5151,680,24,9,23,0
52438,15133,761,12,7,42,0
40817,21386,771,48,13,30,0
57477,17252,722,48,4,34,0
10000,49770,380,48,15,35,1
58913,18878,683,12,6,38,0
70351,13661,668,12,12,26,0
13199,40971,354,24,6,24,1
58140,19673,668,24,2,43,0
57098,12401,731,36,4,37,0
60065,23859,724,60,4,34,0
24446,41350,519,60,4,33,1
57341,17673,698,24,19,26,0
70668,18735,667,48,14,39,0
45449,9905,694,60,2,29,0
65926,19445,693,24,7,38,0
72459,8986,714,60,13,45,0
65774,17074,645,36,8,34,0
67961,13183,741,36,10,40,0
38522,31157,467,12,2,22,1
27083,44130,433,24,9,36,1
32477,29499,527,60,12,31,1
68550,14089,740,24,14,36,0
23287,37602,582,48,12,28,1
17978,44475,499,60,11,33,1
70401,9515,710,36,2,37,0
54843,16259,782,12,6,48,0
62340,21798,797,12,6,46,0
25389,45350,596,60,0,18,1
10621,38793,466,60,11,24,1
50407,14134,619,12,10,33,0
57240,5974,679,24,17,40,0
74192,10457,656,48,17,41,0
21173,32079,553,60,6,30,1
77364,12649,606,24,6,37,0
59780,10622,643,24,15,35,0
10000,40428,513,12,8,22,1
23824,37369,431,12,11,18,1
62566,10401,717,24,16,27,0
56444,13484,691,48,16,22,0
31355,39398,441,48,8,22,1
68830,13482,689,12,9,26,0
32715,40033,495,24,9,18,1
15919,37086,502,24,15,33,1
55982,21842,697,36,12,35,0
59076,16649,722,12,4,39,0
27216,39049,444,48,17,28,1
26256,42018,548,36,0,22,1
86046,5388,751,60,19,37,0
76271,17123,749,60,7,30,0
44666,13125,599,24,7,36,0
71392,13398,717,48,13,46,0
20698,37853,503,60,6,33,1
60279,16742,678,24,4,28,0
50895,11297,725,36,13,45,0
17305,37673,526,60,9,23,1
13773,46702,485,36,8,18,1
21200,43034,487,48,19,30,1
20473,50000,579,60,4,24,1
59134,8470,734,24,0,36,0
11532,41416,544,24,10,35,1
48940,19204,680,36,4,38,0
44654,21131,803,12,10,34,0
65448,9770,706,60,18,46,0
34412,40218,489,36,0,28,1
65215,14059,740,24,14,35,0
59307,12892,695,48,5,51,0
49248,12428,603,48,7,37,0
60385,14985,741,12,16,26,0
19734,32184,485,12,13,18,1
68757,19735,724,36,13,44,0
43146,42565,447,36,4,18,1
18742,45571,538,60,15,45,1
33920,38489,474,12,3,18,1
55670,16485,695,24,9,37,0
68061,11697,686,36,0,32,0
24296,48694,529,60,9,27,1
58767,16449,759,24,10,26,0
20352,41427,594,12,13,34,1
57755,14331,684,24,18,26,0
18443,35664,421,48,18,18,1
69227,17309,682,48,12,46,0
23996,41620,403,36,0,30,1
20582,42569,481,48,19,24,1
57853,8572,781,24,1,45,0
20052,45865,509,36,5,28,1
49042,17625,673,12,17,26,0
64800,14238,696,60,8,40,0
80470,15220,772,12,12,47,0
51813,10628,691,48,17,30,0
62448,16007,808,48,13,34,0
78833,14748,735,48,15,36,0
38489,39120,520,24,2,33,1
10000,38434,521,48,2,36,1
27223,41320,440,60,0,45,1
36073,17477,749,36,3,45,0
54014,19761,772,12,15,35,0
42971,11081,722,12,16,36,0
57914,10428,693,12,2,43,0
33054,38657,481,24,17,18,1
62144,18847,738,48,10,23,0
79541,19980,850,48,15,38,0
44632,39610,439,48,12,22,1
26427,40379,463,48,4,18,1
59261,17345,785,48,15,44,0
42013,10876,773,12,16,40,0
64539,4636,697,48,11,30,0
63302,24874,634,48,18,33,0
64376,9665,674,24,11,27,0
57366,14631,765,36,16,40,0
58554,7990,649,60,17,27,0
68805,15311,684,12,12,57,0
77664,14015,773,24,15,28,0
72690,16718,713,36,7,32,0
47899,10558,636,48,1,31,0
51413,13864,783,24,10,35,0
30913,38970,493,48,8,24,1
62167,12861,734,24,17,46,0
68501,15966,680,60,11,28,0
51116,11763,666,12,10,41,0
61461,13083,683,36,17,39,0
53729,18650,755,36,19,35,0
73126,13115,742,36,9,34,0
49728,14441,674,48,18,41,0
67425,6283,850,60,4,36,0
68570,8021,709,24,9,38,0
55440,7950,642,48,10,35,0
68070,16251,676,24,4,42,0
10000,47111,565,24,8,36,1
69449,12246,636,60,16,36,0
58406,11594,788,24,12,34,0
69680,15474,713,60,15,38,0
12017,37258,507,36,0,18,1
60104,17512,660,36,14,45,0
55129,9930,678,60,3,52,0
35646,33217,581,12,18,22,1
67978,14840,756,36,13,30,0
30725,43725,445,36,19,27,1
77197,17876,696,24,14,18,0
62647,20397,673,60,2,31,0
77333,11673,719,24,1,28,0
54866,8041,649,24,7,24,0
57457,8758,695,60,10,40,0
59737,9313,752,60,2,36,0
51099,6124,676,12,15,40,0
65310,14984,678,60,6,21,0
35231,41757,525,24,14,31,1
80849,26280,640,36,13,36,0
66333,19516,664,48,19,32,0
62372,15467,629,60,3,34,0
30225,42316,478,12,10,28,1
52321,16261,637,12,14,18,0
48385,15646,668,36,18,41,0
85294,15588,736,36,19,22,0
59031,17896,676,24,6,31,0
63811,21071,725,24,1,50,0
24810,27188,559,36,12,24,1
68390,13552,674,12,14,36,0
66452,20164,750,24,7,41,0
70931,18846,616,60,12,27,0
23098,37471,542,48,9,27,1
50700,11142,754,60,8,28,0
63870,5622,676,24,11,37,0
40102,46179,549,12,15,21,1
70473,12612,650,36,14,33,0
30786,38914,419,12,12,38,1
25792,42419,458,24,18,28,1
19814,46962,503,36,18,18,1
10000,42986,486,36,0,18,1
38841,16734,657,36,12,33,0
71013,22365,716,36,8,21,0
24909,31802,482,48,14,18,1
41383,7875,585,36,7,27,0
61576,17586,681,60,12,37,0
53778,8507,605,36,14,33,0
54182,19283,625,12,13,18,0
23740,39245,445,24,2,18,1
52106,18888,698,12,17,21,0
20758,44765,579,36,19,31,1
64531,10226,670,12,6,35,0
62289,26717,751,12,8,35,0
55782,9751,684,48,13,38,0
46044,6020,766,24,13,32,0
51289,10002,676,12,18,26,0
44034,36329,487,36,12,18,1
56036,7191,729,48,4,27,0
55914,14736,753,48,17,40,0
62575,21910,736,36,0,30,0
64759,12266,693,12,17,36,0
38625,10194,756,48,11,40,0
26696,38151,442,60,14,27,1
74655,17553,687,36,0,47,0
10142,35471,493,24,4,18,1
51549,19364,613,24,19,34,0
57972,11409,705,60,18,30,0
67170,15069,720,48,12,44,0
10000,39586,470,24,1,28,1
58996,17303,636,12,18,31,0
10000,41317,545,24,16,19,1
13466,42505,463,24,16,36,1
60214,19181,731,48,5,43,0
25193,39328,442,48,12,19,1
63525,12500,720,60,8,21,0
46514,18300,621,12,2,25,0
53665,12637,685,36,3,18,0
42053,6225,742,48,4,34,0
58658,21623,649,24,4,26,0
54632,20465,709,60,9,41,0
72641,14793,687,48,10,45,0
74236,9682,653,48,2,55,0
50333,20448,674,60,14,60,0
59455,17511,722,12,13,30,0
19920,44002,483,24,16,18,1
35475,32388,499,60,8,29,1
73248,24269,681,60,11,37,0
43368,11465,671,36,3,18,0
63259,21259,758,36,8,43,0
40737,18958,718,48,11,40,0
77901,15068,731,48,5,28,0
14076,40006,516,48,0,18,1
74081,14076,734,36,15,29,0
73409,8875,787,36,13,42,0
70003,8675,798,24,10,38,0
26337,34705,499,24,11,18,1
24956,39967,423,24,13,23,1
53741,6195,635,24,14,37,0
78795,7122,629,36,8,23,0
40111,10229,754,60,19,37,0
68475,17148,607,24,15,47,0
27175,39470,495,24,3,31,1
57620,15704,738,12,9,36,0
46061,7319,694,24,15,42,0
57243,24007,691,12,17,18,0
62698,21601,673,60,1,28,0
45188,16330,731,36,9,34,0
60202,11900,685,60,1,35,0
69137,9162,666,36,5,26,0
65141,12500,674,12,5,37,0
59232,9697,649,12,11,54,0
40883,36823,567,12,18,18,1
32382,39065,524,48,0,26,1
60474,22355,696,24,11,31,0
51487,14446,738,36,11,36,0
45538,13371,762,36,7,35,0
38657,40842,438,36,16,25,1
58049,16347,764,12,10,39,0
57446,15909,732,24,1,44,0
21292,37433,536,24,6,21,1
10000,41219,498,48,17,27,1
69405,15836,641,36,8,38,0
56381,7880,769,36,7,24,0
15322,44292,440,36,15,32,1
60050,14947,686,36,18,32,0
58510,15970,639,60,14,30,0
66549,17065,621,48,1,35,0
49729,5614,646,60,7,52,0
19877,43541,545,24,2,22,1
63791,9759,712,12,13,37,0
52139,18789,731,60,0,41,0
65416,21637,677,60,14,42,0
38820,39903,401,24,17,18,1
67719,11997,755,36,9,47,0
66099,21998,766,36,7,24,0
69694,16962,759,12,12,23,0
64749,10872,717,36,1,34,0
62308,17757,677,12,8,40,0
51807,12224,660,12,17,33,0
63392,15192,772,48,3,24,0
46323,41818,401,12,12,41,1
20993,43177,563,48,17,32,1
49531,14449,727,60,18,18,0
19865,41615,522,60,11,30,1
70090,15661,660,36,6,24,0
42524,44451,476,12,18,28,1
25176,48086,450,48,1,21,1
32083,33791,553,60,0,18,1
66154,14072,737,60,19,29,0
65140,9759,804,48,10,43,0
66691,15443,761,60,11,37,0
26105,35094,441,12,11,27,1
64460,16212,680,12,16,39,0
56946,6651,683,60,9,29,0
26795,49190,498,36,1,18,1
24714,40716,529,36,15,28,1
43479,17754,630,48,10,32,0
83941,7680,637,48,9,48,0
21202,34030,488,36,6,28,1
11104,38805,452,24,6,23,1
28356,36526,516,24,15,25,1
49881,14873,691,36,4,38,0
62020,7480,823,48,15,32,0
66407,22623,595,36,19,20,0
10000,34989,519,60,12,26,1
58557,20604,674,36,10,43,0
64813,15301,672,60,4,29,0
61894,11538,619,36,8,34,0
42909,35524,523,60,1,18,1
75652,7228,664,60,18,39,0
56784,18256,646,12,0,36,0
56673,24252,670,60,14,37,0
62410,21207,711,24,10,35,0
52806,16164,663,24,5,39,0
44113,22688,705,24,18,30,0
32012,41326,547,36,10,18,1
59619,10846,715,48,11,47,0
50735,9457,670,24,5,26,0
65798,22054,734,60,19,26,0
13902,39656,564,12,1,25,1
63816,16966,686,36,1,33,0
59871,7407,720,48,13,40,0
42174,18224,784,24,12,35,0
57835,11770,667,24,14,40,0
64551,4928,741,36,0,39,0
63884,16808,625,12,7,47,0
58998,24011,680,24,16,40,0
63947,12826,623,24,10,37,0
21042,41302,475,24,2,27,1
10000,41073,457,24,7,37,1
10000,42209,523,12,8,25,1
23958,30600,509,24,5,29,1
54687,17247,712,60,4,37,0
59780,10747,707,36,7,46,0
54459,16461,737,60,19,34,0
61238,18975,625,36,10,39,0
71218,11726,653,36,9,40,0
19803,45408,554,24,12,32,1
12095,50000,431,12,17,18,1
34711,39844,549,48,19,23,1
59774,16504,680,48,3,42,0
10316,43062,496,36,8,23,1
26241,39507,445,12,12,37,1
17690,39483,539,48,3,25,1
21467,34980,535,48,5,32,1
64529,6453,746,36,8,50,0
10000,47052,510,12,14,22,1
67711,10418,612,24,13,43,0
71161,4443,666,48,1,39,0
57573,21402,738,24,13,38,0
57123,27562,773,24,12,31,0
64370,13645,660,24,0,27,0
57675,16854,722,12,18,45,0
46877,12514,626,36,7,33,0
55928,16032,694,36,19,31,0
64184,13883,742,36,14,32,0
49597,12372,713,60,14,25,0
41422,38432,539,24,13,18,1
51309,21410,678,60,7,25,0
57666,18061,762,48,2,35,0
73385,13343,639,24,11,29,0
80553,16788,757,48,9,36,0
24195,35768,537,24,1,32,1
11053,44438,540,12,19,24,1
59310,11136,743,12,15,51,0
10000,33306,528,60,10,32,1
78466,19070,754,36,7,34,0
68685,16731,606,24,6,31,0
60174,8407,850,12,6,44,0
61076,13821,664,12,5,30,0
80259,10644,611,60,7,30,0
64265,11720,556,12,1,27,0
72729,16462,668,24,3,48,0
47215,18397,748,36,12,40,0
68604,15508,711,48,13,18,0
22766,48076,449,36,12,39,1
66180,12209,710,24,5,42,0
68423,22607,702,24,0,26,0
37269,43662,457,24,8,25,1
53925,12754,665,60,7,32,0
17631,40952,473,36,0,18,1
55987,10376,717,36,9,38,0
55589,22317,637,48,12,27,0
16390,32009,526,24,3,18,1
62524,17190,687,60,7,27,0
68705,13321,712,36,9,38,0
41079,16619,698,60,6,33,0
26127,36976,485,48,15,20,1
64305,21615,720,24,9,33,0
71640,15495,679,48,1,29,0
68742,10145,674,60,19,30,0
19444,39186,505,36,2,30,1
66707,16905,762,36,11,33,0
56267,16772,745,36,0,44,0
22356,43078,458,48,18,26,1
69277,25769,741,12,11,39,0
58835,28289,672,24,3,41,0
21798,43395,513,24,17,30,1
25906,44450,507,36,17,18,1
53874,17744,710,24,12,37,0
53065,13268,668,24,6,22,0
53242,19126,704,24,15,44,0
28896,36913,493,60,13,27,1
60671,19125,664,60,8,46,0
46433,7847,733,12,4,22,0
25150,39336,545,12,19,31,1
28496,43356,516,12,6,18,1
30506,47279,448,60,5,25,1
78542,23113,675,36,19,37,0
49297,14066,720,60,19,30,0
21693,41265,497,36,2,45,1
22083,39930,415,48,3,22,1
61915,20950,667,48,9,18,0
38771,17991,715,12,12,51,0
18400,44595,503,48,1,30,1
56582,21370,669,48,3,48,0
59957,20387,706,60,13,41,0
70410,14986,758,60,12,42,0
73289,15079,650,48,13,34,0
48711,6981,614,60,2,38,0
29638,36287,513,48,3,31,1
27746,46574,571,24,14,18,1
61117,25504,725,36,7,37,0
66650,1982,725,60,10,32,0
48021,9629,792,36,15,35,0
49653,21180,836,36,14,29,0
73793,13180,571,60,0,44,0
13230,35610,485,48,5,33,1
58975,10669,667,36,10,43,0
72246,19529,805,60,19,50,0
48993,18148,605,12,5,30,0
64336,13944,777,60,6,39,0
52141,20002,778,48,1,37,0
56791,14730,681,24,11,40,0
26471,35406,358,60,12,22,1
10000,41056,470,12,12,40,1
34415,40761,446,24,5,35,1
26523,33111,535,12,0,32,1
62517,13001,640,60,7,44,0
63139,16168,681,60,3,35,0
13982,40704,375,36,2,19,1
18160,46606,529,12,5,31,1
68967,14364,593,36,6,39,0
57526,13671,619,60,14,35,0
55808,12735,721,12,17,33,0
40562,39418,517,36,19,29,1
47103,13971,633,24,4,36,0
36286,41268,528,12,17,28,1
68338,16564,777,12,10,41,0
22493,34387,550,36,4,26,1
53834,21736,782,24,2,41,0
76724,16164,580,12,3,46,0
55315,16686,779,36,8,38,0
70176,19487,695,60,17,56,0
64312,14327,729,24,4,18,0
43881,11487,729,24,13,37,0
25689,47770,572,36,16,22,1
32784,38641,452,12,5,30,1
60100,13525,679,60,2,25,0
58367,16211,637,60,9,39,0
50341,24324,655,60,11,40,0
11360,35914,496,12,11,20,1
56837,7181,778,24,7,41,0
24824,41621,483,60,8,18,1
57651,12505,644,48,15,29,0
63268,23573,731,12,5,21,0
25951,40384,454,60,6,24,1
79485,16422,691,60,3,38,0
54853,21236,745,24,9,37,0
59574,17243,664,12,3,31,0
56491,8118,644,36,9,34,0
59849,6296,624,12,13,27,0
45718,14544,597,60,3,45,0
71592,13423,763,36,7,42,0
68036,7900,759,24,13,30,0
10000,38147,519,48,9,35,1
58298,20731,699,24,1,30,0
10000,36988,535,60,14,32,1
60283,10466,694,12,8,44,0
68231,26475,701,48,17,40,0
44702,6158,665,60,10,35,0
13943,41460,514,48,7,25,1
51194,11881,683,36,17,27,0
54856,18716,673,36,3,33,0
32776,42504,458,36,15,35,1
48556,14109,741,12,0,49,0
35013,34349,480,36,3,23,1
64630,18459,786,24,17,33,0
14839,35009,419,12,1,25,1
10000,37719,575,60,10,29,1
69206,9776,763,60,12,39,0
71844,24104,639,24,10,35,0
49245,10712,694,48,4,28,0
48730,13551,705,60,5,22,0
32669,39312,455,24,16,18,1
42349,10055,699,24,0,31,0
57827,17096,723,48,9,41,0
10000,47596,556,12,4,22,1
56955,17849,708,36,1,27,0
19457,35857,510,48,10,26,1
53759,8242,745,24,7,27,0
47282,6640,703,24,10,25,0
66346,20623,711,36,16,26,0
74833,10120,613,60,8,21,0
10000,44070,550,24,3,21,1
62716,20909,658,12,14,25,0
54802,12604,579,12,15,34,0
70219,15756,720,60,15,46,0
60698,15614,728,12,1,40,0
10000,37258,398,24,6,20,1
60914,26642,710,12,17,33,0
20602,44415,484,12,0,19,1
57182,15274,671,24,8,26,0
10000,31990,558,48,12,27,1
21365,41076,473,12,17,34,1
62685,12663,794,24,7,25,0
10175,42346,617,24,4,18,1
53266,14476,717,24,11,29,0
11607,44567,472,12,15,18,1
24746,37252,476,60,17,37,1
16904,36690,484,36,0,33,1
49779,15524,725,24,18,18,0
55955,17809,702,60,4,49,0
50951,16598,705,24,9,43,0
76962,3987,745,60,13,37,0
18698,35064,616,36,7,27,1
79462,16008,769,48,11,19,0
14754,39098,508,24,2,30,1
62680,17047,706,48,9,37,0
61016,11144,731,60,12,32,0
80233,14272,719,12,5,26,0
69184,22459,738,24,1,27,0
71384,15462,717,36,13,31,0
18482,38453,483,36,19,37,1
44370,18171,730,36,9,43,0
78751,15272,709,36,13,32,0
61860,18646,728,48,19,31,0
43375,18491,642,36,3,45,0
61114,11030,687,24,17,28,0
70071,6788,732,36,17,41,0
56645,17645,614,48,14,45,0
55640,10978,722,48,14,34,0
22560,40071,477,12,19,18,1
61798,17080,741,36,6,40,0
11745,34281,431,24,5,27,1
66061,19073,679,24,1,42,0
52211,10328,708,60,5,42,0
50767,20686,733,12,9,38,0
56175,15437,646,24,7,30,0
24770,32757,464,60,18,23,1
56535,17211,710,60,1,21,0
56876,14961,722,60,14,48,0
64400,10759,702,60,10,44,0
73366,19664,777,24,5,38,0
48936,4614,670,36,4,29,0
49647,10797,737,24,18,35,0
69750,11974,678,60,3,25,0
10000,34348,544,12,16,31,1
11243,39184,490,36,0,24,1
50363,13981,683,48,2,28,0
56656,15219,734,60,9,33,0
61899,20877,630,24,8,29,0
57646,17188,706,24,15,40,0
57518,18260,744,48,12,30,0
53244,11881,678,36,8,24,0
49819,19718,679,36,3,27,0
53643,16182,765,60,14,30,0
68747,10022,653,48,5,18,0
70788,13558,762,48,0,39,0
19756,41837,407,60,13,25,1
74596,18901,662,36,7,38,0
32945,15599,753,48,13,37,0
60860,10381,668,36,14,30,0
61647,25498,720,48,8,35,0
75000,11769,738,24,4,34,0
21064,34924,437,48,9,20,1
47885,23738,632,60,9,30,0
65303,18785,653,24,7,23,0
58795,18693,680,24,14,30,0
73765,16951,693,36,13,36,0
53373,14202,689,36,12,20,0
15161,28903,534,12,19,40,1
15674,44371,506,36,2,18,1
69529,24661,651,24,12,33,0
13370,40119,357,24,14,18,1
82573,20376,738,60,6,29,0
70375,12883,684,36,11,22,0
68478,12345,657,36,17,33,0
65924,8350,660,36,12,38,0
63908,7934,716,48,9,20,0
16654,41191,538,12,9,20,1
10000,35258,408,24,6,35,1
69070,8279,694,12,8,40,0
36324,50000,456,60,9,18,1
62822,9309,687,36,14,36,0
21504,42993,581,24,2,36,1
10000,44420,473,48,3,18,1
77095,11981,659,48,1,36,0
43647,13143,662,24,9,27,0
70741,21731,680,36,7,29,0
33868,17518,826,12,12,37,0
55721,13609,701,12,10,32,0
67874,15502,736,12,14,24,0
43880,19273,694,24,6,38,0
81486,25607,681,24,12,34,0
69523,23504,777,12,12,45,0
52897,14686,695,48,7,36,0
14464,41711,482,36,2,18,1
11977,36004,553,24,16,26,1
75303,16457,677,12,0,30,0
31631,36886,544,24,11,26,1
20485,43296,525,12,4,36,1
46618,8173,640,12,8,46,0
71578,10803,679,60,16,47,0
41695,11542,679,24,3,29,0
16122,47668,463,60,16,42,1
61596,15333,747,36,6,27,0
26454,44056,529,24,16,18,1
59417,19757,696,24,2,18,0
54862,14521,781,12,9,32,0
48180,8737,668,48,16,42,0
51698,14769,663,24,8,34,0
57589,19425,674,48,13,39,0
22342,42876,480,12,0,31,1
23227,41443,522,48,5,18,1
28135,50000,523,60,19,21,1
26296,40106,556,48,19,23,1
70585,16745,637,24,8,40,0
13530,36938,523,12,9,27,1
10000,33828,510,36,5,25,1
28724,46907,561,36,1,30,1
41219,11446,667,48,15,34,0
53724,19404,731,60,3,43,0
21220,42021,499,24,7,18,1
70275,13579,742,24,10,28,0
51050,8169,691,48,17,29,0
54925,18571,720,36,12,34,0
58246,19997,650,48,1,31,0
72277,21411,747,24,1,36,0
32065,41036,521,24,8,18,1
55508,11162,651,24,17,22,0
57237,17117,682,48,2,40,0
31857,37150,456,12,1,25,1
49556,18546,689,48,7,35,0
56454,16620,691,60,15,24,0
44810,20148,701,60,13,28,0
63028,9677,647,36,8,30,0
46674,12708,836,24,9,36,0
25500,43783,479,36,13,19,1
34404,20537,657,60,11,37,0
57593,10377,659,24,16,29,0
58822,19162,680,48,19,34,0
45522,5166,766,60,11,34,0
22575,41615,522,48,11,27,1
47052,10143,693,12,14,54,0
57942,15516,668,36,17,23,0
58056,18440,682,48,13,28,0
23312,47463,439,36,19,24,1
20870,31924,538,60,12,25,1
19604,42091,491,12,1,23,1
20976,34545,520,36,17,22,1
54325,9013,734,36,0,44,0
30807,42310,472,12,9,30,1
70769,19785,707,48,3,27,0
60924,4210,619,24,19,33,0
48146,11750,680,36,0,34,0
57263,19890,630,24,9,40,0
51322,10824,711,36,15,33,0
63333,12209,698,24,7,27,0
60087,11426,673,36,10,38,0
10906,32808,469,24,13,36,1
60872,16967,588,24,13,44,0
59062,25286,691,12,19,29,0
62145,15504,649,24,4,18,0
16922,44093,429,36,12,20,1
25868,49366,493,24,19,35,1
68771,12484,747,36,19,27,0
57476,19123,649,24,4,43,0
24190,36208,571,12,17,18,1
51012,25886,679,36,5,45,0
60594,13041,742,36,15,20,0
47006,8770,733,36,14,44,0
10114,40476,590,24,15,18,1
48410,14341,700,60,15,32,0
68431,16688,790,60,12,27,0
53977,13520,665,24,19,31,0
57213,11415,672,48,19,44,0
10000,41345,507,24,8,24,1
55614,15943,679,12,4,38,0
54939,16396,708,12,14,26,0
10000,42571,483,48,3,18,1
54254,13493,689,24,6,41,0
30792,9603,627,60,10,45,0
62253,18093,730,24,6,45,0
25562,41792,496,36,1,18,1
53764,17702,717,60,9,28,0
68692,14865,695,36,0,33,0
68690,13483,746,12,13,48,0
18529,46707,520,36,17,22,1
53256,19869,728,60,6,35,0
66399,20949,712,36,3,25,0
71291,13075,737,12,3,26,0
55034,16416,738,36,13,35,0
58144,6217,734,12,11,31,0
10000,40843,555,24,12,27,1
55414,15148,668,36,18,31,0
84714,20583,721,12,15,36,0
58954,15384,799,48,19,28,0
65712,20215,720,36,4,30,0
51651,5089,744,36,1,45,0
30240,41670,391,12,5,34,1
58938,16508,646,24,17,33,0
28951,50000,364,12,3,29,1
53711,12948,581,36,14,41,0
59645,23427,710,24,6,39,0
58769,7472,701,24,10,18,0
