incident_severity,insured_hobbies,total_claim_amount,policy_annual_premium,age,insured_occupation,insured_relationship,umbrella_limit,collision_type,incident_type,fraud_reported
Minor Damage,reading,8071,1217,46,engineer,husband,600000,Side Collision,Parked Car,0
Total Loss,cross-fit,15789,839,66,lawyer,wife,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,reading,24106,906,42,engineer,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,reading,11886,1224,67,lawyer,husband,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,reading,8258,1111,20,lawyer,own-child,0,Side Collision,Parked Car,0
Major Damage,reading,18805,941,45,engineer,unmarried,1200000,Front Collision,Parked Car,1
Trivial Damage,reading,19846,1062,57,engineer,wife,0,Side Collision,Parked Car,0
Major Damage,cross-fit,9058,1201,69,doctor,unmarried,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,22531,1454,34,engineer,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,board games,19549,1023,64,teacher,wife,1200000,Side Collision,Parked Car,0
Minor Damage,cross-fit,23608,771,52,engineer,own-child,600000,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,skydiving,19790,1071,64,engineer,unmarried,0,Front Collision,Multi-vehicle Collision,0
Trivial Damage,biking,12494,1473,63,doctor,unmarried,0,Front Collision,Multi-vehicle Collision,0
Total Loss,skydiving,20166,1254,26,doctor,unmarried,1200000,Front Collision,Parked Car,1
Total Loss,skydiving,14789,841,44,doctor,own-child,0,Front Collision,Parked Car,0
Minor Damage,chess,20686,1062,62,doctor,husband,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,6572,1165,69,manager,husband,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,board games,14320,894,41,lawyer,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,reading,11976,1243,49,teacher,wife,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,board games,11532,1086,33,doctor,wife,1200000,Side Collision,Parked Car,0
Minor Damage,chess,22789,884,67,manager,wife,0,Rear Collision,Multi-vehicle Collision,0
Major Damage,skydiving,6173,799,28,teacher,wife,1200000,Front Collision,Multi-vehicle Collision,1
Major Damage,board games,13694,606,26,doctor,husband,0,Rear Collision,Parked Car,0
Major Damage,cross-fit,12842,721,65,doctor,husband,600000,Rear Collision,Parked Car,0
Trivial Damage,skydiving,12933,958,52,teacher,own-child,0,Side Collision,Single Vehicle Collision,0
Total Loss,chess,9842,1026,56,manager,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,cross-fit,9970,878,62,manager,own-child,1200000,Rear Collision,Single Vehicle Collision,1
Trivial Damage,cross-fit,10017,1350,44,engineer,wife,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,9466,774,46,lawyer,unmarried,0,Side Collision,Parked Car,0
Trivial Damage,reading,3383,886,42,teacher,husband,0,Front Collision,Multi-vehicle Collision,1
Major Damage,chess,18390,827,29,engineer,wife,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,cross-fit,7001,940,66,teacher,other-relative,600000,Rear Collision,Single Vehicle Collision,1
Total Loss,skydiving,17535,1201,25,doctor,husband,0,Front Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,19868,852,25,doctor,own-child,0,Front Collision,Multi-vehicle Collision,0
Trivial Damage,reading,18287,1266,33,doctor,own-child,0,Front Collision,Parked Car,1
Minor Damage,biking,13166,782,33,engineer,other-relative,1200000,Front Collision,Parked Car,1
Total Loss,cross-fit,17216,656,60,manager,unmarried,600000,Front Collision,Parked Car,1
Minor Damage,cross-fit,10336,1317,40,manager,husband,0,Side Collision,Parked Car,0
Total Loss,skydiving,13022,754,51,manager,other-relative,600000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,board games,20382,884,25,lawyer,wife,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,18841,860,61,teacher,unmarried,1200000,Side Collision,Parked Car,0
Total Loss,skydiving,22250,1252,21,lawyer,husband,0,Front Collision,Parked Car,0
Total Loss,board games,19281,1588,18,teacher,own-child,0,Front Collision,Multi-vehicle Collision,1
Major Damage,reading,13358,1285,46,engineer,wife,0,Side Collision,Parked Car,1
Minor Damage,reading,17257,952,67,lawyer,husband,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,reading,17759,796,29,manager,wife,1200000,Front Collision,Single Vehicle Collision,1
Total Loss,reading,12156,1258,61,lawyer,unmarried,0,Side Collision,Parked Car,0
Minor Damage,board games,18501,999,41,engineer,wife,1200000,Front Collision,Single Vehicle Collision,1
Major Damage,board games,12957,1212,21,lawyer,other-relative,0,Front Collision,Parked Car,0
Major Damage,reading,15130,1358,21,lawyer,unmarried,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,chess,11533,678,67,engineer,husband,0,Side Collision,Parked Car,1
Trivial Damage,reading,18625,1202,69,doctor,wife,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,reading,12237,1137,35,doctor,wife,1200000,Rear Collision,Parked Car,0
Trivial Damage,reading,15853,962,39,manager,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,chess,10673,980,67,doctor,own-child,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,board games,24135,964,48,engineer,unmarried,600000,Front Collision,Parked Car,1
Trivial Damage,biking,10057,871,42,lawyer,other-relative,0,Side Collision,Parked Car,0
Major Damage,board games,23058,1106,34,doctor,unmarried,0,Side Collision,Multi-vehicle Collision,1
Major Damage,board games,19818,984,51,engineer,unmarried,0,Side Collision,Parked Car,0
Total Loss,cross-fit,25569,1386,68,lawyer,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,cross-fit,13969,1517,27,doctor,husband,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,reading,17373,829,25,manager,unmarried,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,chess,15936,1124,66,lawyer,husband,0,Front Collision,Single Vehicle Collision,0
Major Damage,chess,15142,837,23,teacher,husband,1200000,Front Collision,Parked Car,1
Total Loss,reading,8353,1093,33,engineer,other-relative,1200000,Side Collision,Parked Car,1
Trivial Damage,cross-fit,10344,1056,27,manager,husband,600000,Side Collision,Multi-vehicle Collision,1
Major Damage,chess,10891,566,27,doctor,husband,600000,Side Collision,Parked Car,0
Total Loss,reading,11783,838,36,doctor,own-child,600000,Side Collision,Parked Car,0
Major Damage,cross-fit,15283,1201,22,doctor,unmarried,0,Front Collision,Parked Car,0
Minor Damage,skydiving,18878,963,63,lawyer,husband,0,Front Collision,Parked Car,0
Major Damage,skydiving,13516,915,49,doctor,wife,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,18946,968,49,lawyer,other-relative,1200000,Rear Collision,Parked Car,0
Total Loss,cross-fit,3408,886,35,engineer,own-child,600000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,biking,36979,668,44,manager,other-relative,1200000,Side Collision,Parked Car,1
Major Damage,cross-fit,22186,1199,58,manager,husband,1200000,Rear Collision,Parked Car,1
Total Loss,reading,14398,844,67,teacher,wife,0,Rear Collision,Parked Car,0
Total Loss,reading,16906,1200,18,engineer,own-child,1200000,Side Collision,Single Vehicle Collision,1
Major Damage,biking,10813,894,19,lawyer,own-child,600000,Front Collision,Single Vehicle Collision,1
Trivial Damage,reading,19996,892,40,engineer,other-relative,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,chess,9085,1468,43,manager,husband,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,13998,715,33,manager,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,board games,19504,588,54,manager,own-child,600000,Side Collision,Single Vehicle Collision,1
Trivial Damage,chess,16641,1456,28,manager,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,16107,1379,50,teacher,unmarried,600000,Side Collision,Parked Car,0
Trivial Damage,chess,20138,925,63,manager,own-child,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,10989,893,24,teacher,unmarried,600000,Front Collision,Single Vehicle Collision,1
Trivial Damage,chess,23588,878,66,engineer,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,biking,18290,1198,44,doctor,husband,0,Front Collision,Parked Car,0
Total Loss,cross-fit,21503,1351,29,engineer,wife,600000,Side Collision,Single Vehicle Collision,0
Total Loss,chess,8251,778,35,lawyer,other-relative,1200000,Side Collision,Parked Car,1
Minor Damage,chess,23498,766,36,manager,unmarried,0,Front Collision,Single Vehicle Collision,0
Major Damage,biking,23416,932,23,manager,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,biking,23924,562,19,engineer,husband,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,biking,18220,310,28,manager,husband,600000,Side Collision,Single Vehicle Collision,0
Major Damage,reading,26013,1017,34,teacher,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,skydiving,14609,1095,61,teacher,wife,0,Side Collision,Parked Car,0
Minor Damage,chess,20903,999,62,teacher,husband,1200000,Rear Collision,Parked Car,0
Major Damage,skydiving,22642,953,28,lawyer,wife,1200000,Side Collision,Parked Car,1
Minor Damage,cross-fit,18533,1075,32,teacher,other-relative,600000,Rear Collision,Parked Car,0
Total Loss,biking,26345,1014,64,lawyer,husband,1200000,Front Collision,Multi-vehicle Collision,1
Total Loss,board games,5337,1231,56,manager,wife,600000,Rear Collision,Single Vehicle Collision,1
Trivial Damage,biking,15504,1189,61,engineer,unmarried,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,16003,1407,20,doctor,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,biking,14232,1024,23,engineer,wife,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,chess,12539,1245,50,lawyer,wife,600000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,board games,11643,1331,43,teacher,wife,0,Front Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,15837,1014,40,lawyer,other-relative,600000,Side Collision,Parked Car,1
Trivial Damage,board games,3614,1142,36,doctor,unmarried,0,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,7398,909,24,engineer,own-child,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,15978,1002,34,teacher,unmarried,600000,Front Collision,Parked Car,0
Trivial Damage,reading,15112,1590,32,lawyer,own-child,1200000,Side Collision,Parked Car,0
Major Damage,biking,13705,1126,39,teacher,husband,0,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,18519,1281,56,engineer,own-child,0,Rear Collision,Multi-vehicle Collision,1
Minor Damage,chess,11138,586,48,doctor,unmarried,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,chess,14049,717,40,manager,other-relative,1200000,Side Collision,Parked Car,0
Total Loss,biking,17466,640,49,engineer,own-child,0,Rear Collision,Parked Car,0
Major Damage,biking,15698,1621,25,teacher,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,8829,917,30,doctor,own-child,0,Side Collision,Parked Car,0
Trivial Damage,board games,15571,559,32,manager,own-child,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,18403,952,36,doctor,own-child,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,reading,11334,474,66,teacher,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,12636,979,22,engineer,own-child,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,25746,1185,22,engineer,other-relative,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,biking,10874,1051,42,teacher,unmarried,1200000,Side Collision,Parked Car,0
Total Loss,reading,10770,865,61,manager,other-relative,600000,Front Collision,Parked Car,1
Trivial Damage,board games,16590,1156,46,engineer,wife,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,13602,745,21,manager,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Total Loss,chess,17636,1166,42,doctor,husband,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,biking,11481,1121,34,manager,unmarried,1200000,Front Collision,Multi-vehicle Collision,0
Major Damage,reading,15945,1528,18,doctor,husband,0,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,14653,1217,19,manager,own-child,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,board games,18703,1171,65,doctor,other-relative,0,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,24693,1593,66,manager,other-relative,0,Side Collision,Single Vehicle Collision,1
Total Loss,reading,21577,487,18,manager,other-relative,1200000,Front Collision,Single Vehicle Collision,1
Total Loss,reading,17528,928,48,lawyer,own-child,0,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,9793,1335,26,engineer,other-relative,600000,Side Collision,Parked Car,1
Total Loss,chess,13895,840,27,doctor,unmarried,0,Side Collision,Parked Car,1
Major Damage,reading,8184,1015,18,doctor,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,reading,16099,778,60,lawyer,husband,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,chess,15425,749,29,doctor,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,3307,1072,20,doctor,unmarried,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,board games,18946,323,25,manager,own-child,600000,Side Collision,Single Vehicle Collision,0
Total Loss,chess,12244,897,59,teacher,husband,600000,Side Collision,Single Vehicle Collision,0
Total Loss,board games,21643,697,37,lawyer,wife,600000,Side Collision,Single Vehicle Collision,1
Major Damage,reading,21428,1175,47,lawyer,other-relative,0,Side Collision,Parked Car,1
Total Loss,skydiving,22690,1113,61,engineer,husband,1200000,Side Collision,Single Vehicle Collision,1
Trivial Damage,chess,23011,1428,20,manager,wife,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,25127,725,51,teacher,husband,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,10105,924,63,manager,husband,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,21880,346,51,manager,own-child,0,Rear Collision,Single Vehicle Collision,1
Minor Damage,board games,11861,1117,42,manager,husband,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,cross-fit,24167,1432,61,lawyer,own-child,0,Rear Collision,Parked Car,0
Minor Damage,biking,6087,830,60,doctor,other-relative,1200000,Front Collision,Single Vehicle Collision,1
Major Damage,chess,23899,1198,21,manager,unmarried,1200000,Rear Collision,Parked Car,0
Major Damage,board games,23262,1263,52,teacher,unmarried,0,Side Collision,Single Vehicle Collision,1
Minor Damage,biking,10271,655,19,engineer,husband,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,17656,732,36,manager,other-relative,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,15726,1023,21,engineer,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,27545,1477,29,lawyer,own-child,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,board games,18832,1029,42,teacher,wife,600000,Front Collision,Multi-vehicle Collision,0
Total Loss,biking,5353,910,50,lawyer,wife,600000,Front Collision,Single Vehicle Collision,0
Total Loss,board games,13355,1136,20,manager,husband,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,19064,768,39,doctor,own-child,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,board games,17496,1175,42,lawyer,own-child,0,Front Collision,Parked Car,1
Total Loss,reading,20521,986,36,teacher,wife,1200000,Rear Collision,Multi-vehicle Collision,1
Major Damage,chess,12438,1366,21,teacher,unmarried,0,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,16010,859,69,doctor,wife,1200000,Side Collision,Parked Car,0
Total Loss,cross-fit,18708,1211,62,manager,wife,600000,Side Collision,Parked Car,0
Major Damage,skydiving,12713,936,44,manager,own-child,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,9610,674,59,doctor,unmarried,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,16123,627,41,doctor,own-child,0,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,20262,1208,26,doctor,own-child,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,17494,1145,24,teacher,own-child,600000,Rear Collision,Parked Car,1
Total Loss,chess,12509,315,51,doctor,unmarried,0,Front Collision,Parked Car,0
Major Damage,cross-fit,17553,918,68,manager,other-relative,0,Side Collision,Parked Car,0
Minor Damage,cross-fit,11890,925,48,engineer,unmarried,0,Front Collision,Multi-vehicle Collision,0
Trivial Damage,biking,19673,1633,67,manager,other-relative,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,board games,22271,1547,49,teacher,unmarried,0,Front Collision,Parked Car,0
Minor Damage,chess,9757,1182,69,lawyer,own-child,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,8311,924,52,teacher,unmarried,600000,Front Collision,Parked Car,1
Trivial Damage,reading,16713,920,46,manager,other-relative,0,Front Collision,Parked Car,0
Trivial Damage,reading,19548,524,27,lawyer,unmarried,600000,Front Collision,Parked Car,0
Minor Damage,reading,8923,928,43,lawyer,other-relative,1200000,Rear Collision,Parked Car,0
Major Damage,chess,18011,1413,59,doctor,wife,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,16592,628,25,doctor,wife,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,board games,6484,1195,31,doctor,own-child,0,Side Collision,Parked Car,1
Major Damage,reading,23349,1438,57,lawyer,wife,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,board games,10758,1079,21,doctor,husband,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,board games,14349,904,44,teacher,husband,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,9959,1291,29,manager,husband,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,17922,543,59,lawyer,husband,1200000,Front Collision,Multi-vehicle Collision,1
Major Damage,board games,17017,599,36,engineer,unmarried,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,reading,12564,1050,28,doctor,wife,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,cross-fit,10911,99,51,engineer,unmarried,600000,Rear Collision,Parked Car,0
Minor Damage,biking,8935,1241,60,engineer,husband,600000,Side Collision,Parked Car,0
Minor Damage,skydiving,6922,804,54,engineer,husband,600000,Front Collision,Multi-vehicle Collision,1
Major Damage,chess,24665,603,53,lawyer,unmarried,0,Front Collision,Parked Car,0
Minor Damage,reading,17712,589,55,lawyer,husband,1200000,Rear Collision,Parked Car,0
Trivial Damage,biking,19672,1113,61,doctor,own-child,0,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,20376,1059,55,engineer,unmarried,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,board games,15066,1441,64,lawyer,own-child,1200000,Rear Collision,Parked Car,0
Trivial Damage,skydiving,20923,1163,63,doctor,other-relative,0,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,26428,1012,29,doctor,wife,0,Rear Collision,Single Vehicle Collision,0
Major Damage,skydiving,12982,1134,64,manager,own-child,1200000,Side Collision,Parked Car,0
Minor Damage,chess,19435,1042,53,teacher,husband,0,Side Collision,Single Vehicle Collision,0
Total Loss,board games,20266,978,32,manager,other-relative,0,Front Collision,Multi-vehicle Collision,0
Trivial Damage,biking,22463,1083,31,teacher,other-relative,0,Rear Collision,Parked Car,0
Major Damage,chess,16902,1241,24,manager,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,reading,22095,598,45,engineer,unmarried,600000,Rear Collision,Parked Car,1
Major Damage,cross-fit,19087,1641,61,teacher,husband,600000,Side Collision,Parked Car,0
Major Damage,cross-fit,28910,870,35,teacher,husband,1200000,Front Collision,Multi-vehicle Collision,1
Total Loss,biking,25273,1347,42,teacher,wife,1200000,Side Collision,Parked Car,1
Minor Damage,chess,21765,805,39,teacher,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,10997,610,31,doctor,husband,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,board games,10305,1518,46,teacher,husband,0,Rear Collision,Parked Car,0
Trivial Damage,biking,19794,1118,25,lawyer,unmarried,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,cross-fit,17729,1076,57,manager,husband,1200000,Side Collision,Single Vehicle Collision,1
Trivial Damage,biking,11773,634,61,engineer,unmarried,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,board games,12168,957,51,engineer,other-relative,600000,Side Collision,Parked Car,0
Trivial Damage,biking,6034,745,44,doctor,husband,1200000,Front Collision,Parked Car,1
Total Loss,biking,9926,822,32,teacher,wife,0,Side Collision,Parked Car,0
Minor Damage,chess,12867,1439,28,lawyer,husband,1200000,Side Collision,Parked Car,0
Total Loss,skydiving,19492,507,63,teacher,own-child,1200000,Rear Collision,Single Vehicle Collision,1
Total Loss,skydiving,20496,1443,38,engineer,unmarried,1200000,Side Collision,Single Vehicle Collision,1
Minor Damage,board games,17794,1208,29,manager,husband,1200000,Front Collision,Parked Car,1
Minor Damage,cross-fit,22017,1476,59,doctor,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Trivial Damage,board games,27798,749,67,lawyer,wife,1200000,Side Collision,Single Vehicle Collision,1
Minor Damage,chess,27508,1277,63,manager,wife,0,Side Collision,Single Vehicle Collision,1
Minor Damage,board games,11029,1052,55,doctor,own-child,0,Front Collision,Single Vehicle Collision,0
Total Loss,biking,13121,810,31,teacher,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,biking,15879,1728,33,lawyer,wife,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,skydiving,7347,853,64,engineer,husband,600000,Rear Collision,Parked Car,0
Major Damage,board games,20728,1327,57,engineer,husband,0,Side Collision,Parked Car,0
Minor Damage,biking,9921,714,24,doctor,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,18656,843,68,doctor,own-child,0,Front Collision,Multi-vehicle Collision,0
Total Loss,biking,16480,714,42,teacher,own-child,600000,Side Collision,Parked Car,0
Minor Damage,reading,19258,1086,37,manager,husband,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,chess,19943,378,61,manager,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,chess,22456,692,64,manager,wife,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,board games,18613,931,53,doctor,other-relative,600000,Side Collision,Parked Car,0
Major Damage,chess,20395,900,48,teacher,unmarried,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,20509,1269,22,doctor,husband,0,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,19806,1162,43,manager,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,14658,828,51,doctor,other-relative,0,Front Collision,Single Vehicle Collision,1
Total Loss,chess,12994,974,36,engineer,own-child,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,biking,15977,1265,55,engineer,husband,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,board games,19806,577,66,manager,wife,600000,Front Collision,Parked Car,0
Trivial Damage,board games,16703,632,38,manager,unmarried,1200000,Side Collision,Parked Car,0
Total Loss,cross-fit,18939,1311,20,engineer,husband,0,Rear Collision,Parked Car,1
Major Damage,biking,24974,1225,34,teacher,own-child,0,Side Collision,Parked Car,1
Major Damage,chess,21540,1156,29,manager,own-child,600000,Rear Collision,Multi-vehicle Collision,1
Major Damage,chess,7737,1304,50,engineer,wife,0,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,23403,722,40,teacher,other-relative,1200000,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,26184,805,67,manager,husband,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,biking,13833,1201,69,doctor,unmarried,1200000,Rear Collision,Parked Car,0
Minor Damage,board games,18446,1150,41,doctor,wife,0,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,15923,1128,20,manager,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,skydiving,16324,872,58,manager,own-child,1200000,Side Collision,Parked Car,0
Total Loss,board games,23139,1111,61,teacher,other-relative,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,chess,21294,962,44,manager,own-child,600000,Front Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,6985,816,24,teacher,own-child,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,chess,9606,754,28,lawyer,own-child,600000,Front Collision,Parked Car,0
Trivial Damage,board games,9402,1483,18,teacher,own-child,0,Side Collision,Single Vehicle Collision,0
Major Damage,biking,17188,957,59,manager,wife,0,Front Collision,Single Vehicle Collision,1
Minor Damage,reading,10716,1040,30,lawyer,husband,600000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,10400,1235,36,manager,wife,600000,Front Collision,Parked Car,0
Minor Damage,chess,22743,1096,43,manager,other-relative,0,Front Collision,Parked Car,1
Trivial Damage,skydiving,25550,827,61,doctor,own-child,0,Front Collision,Multi-vehicle Collision,1
Total Loss,skydiving,10128,1566,46,manager,wife,600000,Rear Collision,Multi-vehicle Collision,1
Total Loss,skydiving,22360,971,54,lawyer,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,reading,18776,1126,31,teacher,unmarried,600000,Front Collision,Single Vehicle Collision,0
Major Damage,chess,28054,824,25,manager,own-child,0,Rear Collision,Parked Car,1
Total Loss,board games,20486,1370,24,engineer,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,skydiving,25695,755,19,doctor,other-relative,0,Front Collision,Single Vehicle Collision,1
Minor Damage,cross-fit,5409,1238,36,manager,unmarried,0,Front Collision,Single Vehicle Collision,0
Total Loss,board games,17596,1360,36,manager,husband,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,16677,881,31,lawyer,own-child,0,Rear Collision,Parked Car,0
Trivial Damage,chess,10798,1127,20,manager,wife,1200000,Rear Collision,Parked Car,0
Major Damage,chess,13544,956,30,manager,own-child,600000,Front Collision,Parked Car,0
Major Damage,cross-fit,17640,808,30,engineer,unmarried,600000,Side Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,11993,924,21,doctor,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,cross-fit,27015,626,41,lawyer,other-relative,600000,Rear Collision,Parked Car,0
Trivial Damage,biking,16886,981,52,doctor,other-relative,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,19241,825,32,lawyer,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Total Loss,chess,12115,644,36,teacher,unmarried,600000,Side Collision,Parked Car,0
Trivial Damage,board games,14647,1069,37,lawyer,own-child,1200000,Side Collision,Parked Car,0
Trivial Damage,cross-fit,17596,793,26,lawyer,other-relative,0,Side Collision,Multi-vehicle Collision,0
Total Loss,skydiving,22380,753,18,teacher,wife,1200000,Side Collision,Parked Car,1
Trivial Damage,board games,13077,812,36,doctor,wife,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,chess,16464,1037,30,doctor,own-child,600000,Front Collision,Multi-vehicle Collision,0
Total Loss,biking,26294,759,55,teacher,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,17303,829,56,teacher,unmarried,1200000,Front Collision,Parked Car,1
Major Damage,reading,13526,1141,61,teacher,husband,0,Front Collision,Parked Car,1
Trivial Damage,cross-fit,20741,1317,39,lawyer,unmarried,600000,Rear Collision,Single Vehicle Collision,1
Total Loss,board games,22319,777,29,doctor,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,board games,15160,479,53,lawyer,husband,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,reading,12461,1112,68,manager,other-relative,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,14416,1665,26,teacher,husband,600000,Rear Collision,Single Vehicle Collision,0
